Plate	Owner	Experiment	Genotype	Ref	Empty.Wells	Plate.Date	Plate..	Sort.Date	Production.Date	Internal.Index	External.Index	QC1	QC2	delta_CT	Libprep.Cycles	Conc...ng.ul.	Evarage.size..bp.	Sequencing.Dates	Comment	X	Last.sequensing.date	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	external	seq_runs	seq_batch
EXE22_p2_e1	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	23/02/2020	1264	26/03/2020	05/08/2020	7	3G	25.4	18.4	8	2+12	28.6	354	200910	EXE22_e1	NOVASeq external indexes	200910	EXE22_p2_e1	200910	EXE22_p2_e1	3G	200910	200910_3G
EXE22_p4_e2_placenta_e2	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	18/03/2020	1339	26/03/2020	06/08/2020	9	4A	25.6	18.1	8.5	2+12	20.4	360	200910	EXE22_e2_placenta+e2	NOVASeq external indexes	200910	EXE22_p4_e2_placenta_e2	200910	EXE22_p4_e2_placenta_e2	4A	200910	200910_4A
EXE22_p5_e2b_placenta_e3	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	18/03/2020	1341	26/03/2020	06/08/2020	10	4B	24.8	19	6.7	2+13	11.9	397	200910	EXE22_e2b_placenta_e3	NOVASeq external indexes	200910	EXE22_p5_e2b_placenta_e3	200910	EXE22_p5_e2b_placenta_e3	4B	200910	200910_4B
EXE22_p6_e3	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	18/03/2020	1340	26/03/2020	06/08/2020	11	4C	26	20.1	6.9	2+13	24.8	358	200910	EXE22_e3	NOVASeq external indexes	200910	EXE22_p6_e3	200910	EXE22_p6_e3	4C	200910	200910_4C
EXE22_p7_e3b	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	18/03/2020	1343	26/03/2020	06/08/2020	12	4D	26.4	20.2	7.1	2+13	24.5	327	200910	EXE22_e3	NOVASeq external indexes	200910	EXE22_p7_e3b	200910	EXE22_p7_e3b	4D	200910	200910_4D
EXE22_p8_e3c	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	18/03/2020	1342	26/03/2020	06/08/2020	13	4E	28.8	22.3	7.5	2+13	5	395	200910	EXE22_e3	NOVASeq external indexes	200910	EXE22_p8_e3c	200910	EXE22_p8_e3c	4E	200910	200910_4E
EXE22_p9_e4	Roni	EXE22	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	18/03/2020	1337	26/03/2020	06/08/2020	14	4F	25.8	20.2	6.6	2+13	24.2	339	200910	EXE22_e4	NOVASeq external indexes	200910	EXE22_p9_e4	200910	EXE22_p9_e4	4F	200910	200910_4F
EXE23_P1	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	17/03/2020	1292	18/05/2020	16/08/2020	5	5E	25.9	19.6	7.3	2+11	12.7	416	200910	E1	NOVASeq external indexes	200910	EXE23_P1	200910	EXE23_P1	5E	200910	200910_5E
EXE23_P10	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/05/2020	1358	18/05/2020	17/08/2020	13	6E	25.5	19.1	7.4	2+11	24.6	499	200910	E5	NOVASeq external indexes	200910	EXE23_P10	200910	EXE23_P10	6E	200910	200910_6E
EXE23_P11	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/05/2020	1355	18/05/2020	17/08/2020	14	6F	25.5	19.1	7.4	2+11	19.1	468	200910	E5	NOVASeq external indexes	200910	EXE23_P11	200910	EXE23_P11	6F	200910	200910_6F
EXE23_P12	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/05/2020	1353	18/05/2020	17/08/2020	15	6G	25.2	18	8.2	2+11	27.6	652	200910	E7	NOVASeq external indexes	200910	EXE23_P12	200910	EXE23_P12	6G	200910	200910_6G
EXE23_P13	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/05/2020	1354	18/05/2020	17/08/2020	16	6H	25.3	16.9	9.4	2+11	36.4	660	200910	E7	NOVASeq external indexes	200910	EXE23_P13	200910	EXE23_P13	6H	200910	200910_6H
EXE23_P2	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	17/03/2020	1294	18/05/2020	16/08/2020	6	5F	25.6	18.5	8.1	2+11	20.6	573	200910	E1	NOVASeq external indexes	200910	EXE23_P2	200910	EXE23_P2	5F	200910	200910_5F
EXE23_P3	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	17/03/2020	1296	18/05/2020	16/08/2020	7	5G	25.6	19.1	7.5	2+11	24.8	546	200910	E2	NOVASeq external indexes	200910	EXE23_P3	200910	EXE23_P3	5G	200910	200910_5G
EXE23_P4	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	17/03/2020	1295	18/05/2020	16/08/2020	8	5H	25.7	17.7	9	2+11	11.9	597	200910	E2	NOVASeq external indexes	200910	EXE23_P4	200910	EXE23_P4	5H	200910	200910_5H
EXE23_P5	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	17/03/2020	1293	18/05/2020	17/08/2020	9	12H	25	17.7	8.3	2+11	21.8	385	200910	E3	NOVASeq external indexes	200910	EXE23_P5	200910	EXE23_P5	12H	200910	200910_12H
EXE23_P6	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	17/03/2020	1291	18/05/2020	06/08/2020	16	4H	24.8	22.2	3.6	2+13	2	301	200910	E3	NOVASeq external indexes	200910	EXE23_P6	200910	EXE23_P6	4H	200910	200910_4H
EXE23_P7	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/05/2020	1356	18/05/2020	17/08/2020	10	6B	25.4	18.1	8.3	2+11	23.8	350	200910	E6	NOVASeq external indexes	200910	EXE23_P7	200910	EXE23_P7	6B	200910	200910_6B
EXE23_P8	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/05/2020	1357	18/05/2020	17/08/2020	11	6C	25.4	18.3	8.1	2+11	28.4	345	200910	E6	NOVASeq external indexes	200910	EXE23_P8	200910	EXE23_P8	6C	200910	200910_6C
EXE23_P9	Roni	EXE23	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/05/2020	1359	18/05/2020	17/08/2020	12	6D	25.6	19.5	7.1	2+11	17.1	334	200910	E4	NOVASeq external indexes	200910	EXE23_P9	200910	EXE23_P9	6D	200910	200910_6D
EXE24_P1	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1429	14/06/2020	20/08/2020	1	8A	25.5	17.4	9	2+11	23.8	516	200910	m1e1	NOVASeq external indexes	200910	EXE24_P1	200910	EXE24_P1	8A	200910	200910_8A
EXE24_P10	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1396	14/06/2020	30/08/2020	10	7B	25.4	17.8	8.6	2+11	21.8	497	200910	m2e2	NOVASeq external indexes	200910	EXE24_P10	200910	EXE24_P10	7B	200910	200910_7B
EXE24_P11	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1397	14/06/2020	30/08/2020	11	7C	25.3	18.4	8	2+11	27	534	200910	m2e2	NOVASeq external indexes	200910	EXE24_P11	200910	EXE24_P11	7C	200910	200910_7C
EXE24_P12	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1398	14/06/2020	30/08/2020	12	7D	25.5	18.5	8	2+11	32.4	550	200910	m2e3	NOVASeq external indexes	200910	EXE24_P12	200910	EXE24_P12	7D	200910	200910_7D
EXE24_P13	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1399	14/06/2020	30/08/2020	13	7E	26	18.5	8.5	2+11	23.6	655	200910	m2e3	NOVASeq external indexes	200910	EXE24_P13	200910	EXE24_P13	7E	200910	200910_7E
EXE24_P14	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1393	14/06/2020	30/08/2020	14	7F	26.4	18.8	8.5	2+11	24.8	496	200910	m2e4	NOVASeq external indexes	200910	EXE24_P14	200910	EXE24_P14	7F	200910	200910_7F
EXE24_P15	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1391	14/06/2020	30/08/2020	15	7G	25.6	18.2	8.4	2+11	36.4	596	200910	m2e4	NOVASeq external indexes	200910	EXE24_P15	200910	EXE24_P15	7G	200910	200910_7G
EXE24_P16	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1390	14/06/2020	30/08/2020	16	7H	25.8	20.2	6.6	2+11	9.7	651	200910	m3e1	NOVASeq external indexes	200910	EXE24_P16	200910	EXE24_P16	7H	200910	200910_7H
EXE24_P17	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1392	14/06/2020	08/09/2020	1	4A	26.1	18.4	8.7	2+11	13	356	201101	m2e1	NOVASeq external indexes	201101	EXE24_P17	201101	EXE24_P17	4A	201101	201101_4A
EXE24_P18	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1384	14/06/2020	08/09/2020	2	4B	26.2	18.8	8.5	2+11	14.2	355	201101	m3e2	NOVASeq external indexes	201101	EXE24_P18	201101	EXE24_P18	4B	201101	201101_4B
EXE24_P19	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1386	14/06/2020	08/09/2020	3	4C	26	19.5	7.5	2+11	13.3	350	201101	m3e2	NOVASeq external indexes	201101	EXE24_P19	201101	EXE24_P19	4C	201101	201101_4C
EXE24_P2	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1427	14/06/2020	20/08/2020	2	8B	26	17.7	9.3	2+11	23.2	497	200910	m1e1	NOVASeq external indexes	200910	EXE24_P2	200910	EXE24_P2	8B	200910	200910_8B
EXE24_P3	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1426	14/06/2020	20/08/2020	3	8C	26	18	9.1	2+11	22.8	653	200910	m1e2	NOVASeq external indexes	200910	EXE24_P3	200910	EXE24_P3	8C	200910	200910_8C
EXE24_P4	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1425	14/06/2020	20/08/2020	4	8D	27.1	18.1	10	2+11	30.6	466	200910	m1e2	NOVASeq external indexes	200910	EXE24_P4	200910	EXE24_P4	8D	200910	200910_8D
EXE24_P5	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1423	14/06/2020	20/08/2020	5	8E	26.1	17.8	9.3	2+11	15.8	492	200910	m1e3	NOVASeq external indexes	200910	EXE24_P5	200910	EXE24_P5	8E	200910	200910_8E
EXE24_P6	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1424	14/06/2020	20/08/2020	6	8F	25.5	17.2	9.2	2+11	25.6	651	200910	m1e4	NOVASeq external indexes	200910	EXE24_P6	200910	EXE24_P6	8F	200910	200910_8F
EXE24_P7	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1422	14/06/2020	20/08/2020	7	8G	25.9	18	8.9	2+11	26	625	200910	m1e4	NOVASeq external indexes	200910	EXE24_P7	200910	EXE24_P7	8G	200910	200910_8G
EXE24_P8	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1395	14/06/2020	30/08/2020	9	7A	25.3	18	8.3	2+11	27	399	200910	m2e1	NOVASeq external indexes	200910	EXE24_P8	200910	EXE24_P8	7A	200910	200910_7A
EXE24_P9	Roni	EXE24	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1394	14/06/2020	20/08/2020	8	8H	26.3	18.3	9	2+11	32.4	600	200910	m2e1	NOVASeq external indexes	200910	EXE24_P9	200910	EXE24_P9	8H	200910	200910_8H
EXE25_P1	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1380	16/06/2020	08/09/2020	4	4D	26.5	19.3	8.1	2+11	15.2	350	201101	m1e1	NOVASeq external indexes	201101	EXE25_P1	201101	EXE25_P1	4D	201101	201101_4D
EXE25_P10	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/06/2020	1463	16/06/2020	13/09/2020	13	4E	25.7	18.4	8.4	2+11	15.3	300	201101	m2e3	NOVASeq external indexes	201101	EXE25_P10	201101	EXE25_P10	4E	201101	201101_4E
EXE25_P11	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/06/2020	1461	16/06/2020	13/09/2020	14	4F	26.5	18.3	9.2	2+11	16.1	300	201101	m2e4	NOVASeq external indexes	201101	EXE25_P11	201101	EXE25_P11	4F	201101	201101_4F
EXE25_P2	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1382	16/06/2020	08/09/2020	5	4E	26.6	19.7	7.9	2+11	13.4	350	201101|201123	m1e1	NOVASeq external indexes	201123	EXE25_P2	201101|201123	EXE25_P2	4E	201101|201123	201101_201123_4E
EXE25_P3	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1383	16/06/2020	08/09/2020	6	4F	26.1	19	8.1	2+11	16.8	350	201101	m1e2	NOVASeq external indexes	201101	EXE25_P3	201101	EXE25_P3	4F	201101	201101_4F
EXE25_P4	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	07/06/2020	1381	16/06/2020	08/09/2020	7	4G	26.1	19	8.1	2+11	12.4	417	201101	m1e2_m1e3	NOVASeq external indexes	201101	EXE25_P4	201101	EXE25_P4	4G	201101	201101_4G
EXE25_P5	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/06/2020	1487	16/06/2020	08/09/2020	8	4H	26.8	19.5	8.3	2+11	11.2	373	201101	m1e3	NOVASeq external indexes	201101	EXE25_P5	201101	EXE25_P5	4H	201101	201101_4H
EXE25_P6	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/06/2020	1488	16/06/2020	13/09/2020	9	4A	29.5	22.5	8	2+13	4.32	223-340	201101|201123	m1e3_m2e2	NOVASeq external indexes	201123	EXE25_P6	201101|201123	EXE25_P6	4A	201101|201123	201101_201123_4A
EXE25_P7	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/06/2020	1481	16/06/2020	13/09/2020	10	4B	25.5	18.1	8.4	2+11	15.6	336	201101	m2e2	NOVASeq external indexes	201101	EXE25_P7	201101	EXE25_P7	4B	201101	201101_4B
EXE25_P8	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/06/2020	1485	16/06/2020	13/09/2020	11	4C	26.1	18.2	8.8	2+11	10.2	305	201101	m2e1	NOVASeq external indexes	201101	EXE25_P8	201101	EXE25_P8	4C	201101	201101_4C
EXE25_P9	Roni	EXE25	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/06/2020	1462	16/06/2020	13/09/2020	12	4D	26.4	18.7	8.7	2+11	11.9	300	201101	m2e1_m2e3	NOVASeq external indexes	201101	EXE25_P9	201101	EXE25_P9	4D	201101	201101_4D
EXE26_P1	Roni	EXE26	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/06/2020	1472	29/06/2020	13/09/2020	15	4G	28.5	21.5	8	2+13	6.04	381	201101	3 pools of E4.0 embryos	NOVASeq external indexes	201101	EXE26_P1	201101	EXE26_P1	4G	201101	201101_4G
EXE27_P1	Roni	EXE27	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	10/05/2020	1364	16/08/2020	13/09/2020	16	4H	29.1	21.3	8.8	2+13	5.76	270-457	201101	1 pools of E4.0 embryos	NOVASeq external indexes	201101	EXE27_P1	201101	EXE27_P1	4H	201101	201101_4H
EXE28_P1	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2156	10/11/2020	22/11/2020	1	4A	29.6	24.5	6.1	2+13	1.99	366	201214	e1	NOVASeq external indexes	201214	EXE28_P1	201214	EXE28_P1	4A	201214	201214_4A
EXE28_P10	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2152	10/11/2020	23/11/2020	10	4B	27.3	19.1	9.2	2+11	11.7	400	201214	e3	NOVASeq external indexes	201214	EXE28_P10	201214	EXE28_P10	4B	201214	201214_4B
EXE28_P2	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2158	10/11/2020	22/11/2020	2	4B	30.4	24.4	7	2+13	2.94	365	201214	e1	NOVASeq external indexes	201214	EXE28_P2	201214	EXE28_P2	4B	201214	201214_4B
EXE28_P3	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2155	10/11/2020	22/11/2020	3	4C	30.2	26.1	5.1	2+13	1.89	371	201214	e1	NOVASeq external indexes	201214	EXE28_P3	201214	EXE28_P3	4C	201214	201214_4C
EXE28_P4	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2157	10/11/2020	22/11/2020	4	4D	27.2	20.2	8	2+11	6.56	354	201214	e1_placenta	NOVASeq external indexes	201214	EXE28_P4	201214	EXE28_P4	4D	201214	201214_4D
EXE28_P5	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2150	10/11/2020	22/11/2020	5	4E	26.1	18.9	8.3	2+11	8.92	350	201214	e3_placenta	NOVASeq external indexes	201214	EXE28_P5	201214	EXE28_P5	4E	201214	201214_4E
EXE28_P6	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2149	10/11/2020	22/11/2020	6	4F	26.9	19.5	8.3	2+11	7.26	350	201214	e3_placenta	NOVASeq external indexes	201214	EXE28_P6	201214	EXE28_P6	4F	201214	201214_4F
EXE28_P7	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2151	10/11/2020	22/11/2020	7	4G	27.2	20	8.2	2+11	5.16	339(200)	201214	e3	NOVASeq external indexes	201214	EXE28_P7	201214	EXE28_P7	4G	201214	201214_4G
EXE28_P8	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2153	10/11/2020	22/11/2020	8	4H	27.2	20.2	7.9	2+11	3.24	422	201214	e3	NOVASeq external indexes	201214	EXE28_P8	201214	EXE28_P8	4H	201214	201214_4H
EXE28_P9	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2154	10/11/2020	23/11/2020	9	4A	27.8	20.4	8.5	2+11	5.94	444	201214	e3	NOVASeq external indexes	201214	EXE28_P9	201214	EXE28_P9	4A	201214	201214_4A
roni2_e_001	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2171	10/11/2020	23/11/2020	12	4D	36.3	19.8	17.4	2+11	4.74	465	201214	e2	NOVASeq external indexes	201214	roni2_e_001	201214	roni2_e_001	4D	201214	201214_4D
roni2_e_002	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2172	10/11/2020	23/11/2020	13	4E	28.4	18.8	10.6	2+11	15.3	400	201214	e2	NOVASeq external indexes	201214	roni2_e_002	201214	roni2_e_002	4E	201214	201214_4E
roni2_p	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	05/11/2020	2140	10/11/2020	23/11/2020	14	4F	26.9	18.8	9.1	2+11	18.9	400	201214	e2_placenta	NOVASeq external indexes	201214	roni2_p	201214	roni2_p	4F	201214	201214_4F
roni2e	Roni	EXE28	C57/Bl6	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	08/11/2020	2173	10/11/2020	23/11/2020	11	4C	26.9	18.7	9.2	2+11	1.7	400	201214	e2	NOVASeq external indexes	201214	roni2e	201214	roni2e	4C	201214	201214_4C
EXE33_P1	Roni	EXE33	c57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	30/08/2021	2528	13/10/2021	13/10/2021	26	6H	NA	19.1	NA	2+11	10.4	460	211031	E2_E3_E4		211031	EXE33_P1	211031	EXE33_P1	6H	211031	211031_6H
lin_trace_p1_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1551	27/07/2020	14/09/2020	1	5A	25.6	18	8.6	2+11	19.2	327	201101	e1	NOVASeq external indexes	201101	lin_trace_p1_exp1	201101	lin_trace_p1_exp1	5A	201101	201101_5A
lin_trace_p10_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1550	27/07/2020	15/09/2020	10	5B	25.4	18	8.4	2+11	15.1	390	201101	m2e6	NOVASeq external indexes	201101	lin_trace_p10_exp1	201101	lin_trace_p10_exp1	5B	201101	201101_5B
lin_trace_p11_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1546	27/07/2020	15/09/2020	11	5C	26.1	18.2	8.9	2+11	13.6	390	201101	m2e6_b	NOVASeq external indexes	201101	lin_trace_p11_exp1	201101	lin_trace_p11_exp1	5C	201101	201101_5C
lin_trace_p12_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1578	27/07/2020	15/09/2020	12	5D	25.4	18.8	7.7	2+11	12.9	394	201101	m2e6_c	NOVASeq external indexes	201101	lin_trace_p12_exp1	201101	lin_trace_p12_exp1	5D	201101	201101_5D
lin_trace_p13_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1577	27/07/2020	15/09/2020	13	5E	25.7	18.9	7.8	2+11	5.16	653	201101	m2e7	NOVASeq external indexes	201101	lin_trace_p13_exp1	201101	lin_trace_p13_exp1	5E	201101	201101_5E
lin_trace_p15_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1575	27/07/2020	15/09/2020	15	5G	26	19.2	7.8	2+11	19.2	396	201101	me7_c   2/3 plate	NOVASeq external indexes	201101	lin_trace_p15_exp1	201101	lin_trace_p15_exp1	5G	201101	201101_5G
lin_trace_p2_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1556	27/07/2020	14/09/2020	2	5B	26.3	18.2	9.1	2+11	12.5	316	201101	e1_b	NOVASeq external indexes	201101	lin_trace_p2_exp1	201101	lin_trace_p2_exp1	5B	201101	201101_5B
lin_trace_p3_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1555	27/07/2020	14/09/2020	3	5C	26	18.4	8.6	2+11	15.7	310	201101	e1_c	NOVASeq external indexes	201101	lin_trace_p3_exp1	201101	lin_trace_p3_exp1	5C	201101	201101_5C
lin_trace_p4_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1552	27/07/2020	14/09/2020	4	5D	26.3	17.4	9.8	2+11	13.6	310	201101	e1_d	NOVASeq external indexes	201101	lin_trace_p4_exp1	201101	lin_trace_p4_exp1	5D	201101	201101_5D
lin_trace_p5_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1554	27/07/2020	14/09/2020	5	5E	27.1	18.6	9.5	2+11	10.1	310	201101	m2e1_a	NOVASeq external indexes	201101	lin_trace_p5_exp1	201101	lin_trace_p5_exp1	5E	201101	201101_5E
lin_trace_p6_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1548	27/07/2020	14/09/2020	6	5F	26.3	18.1	9.3	2+11	12.6	310	201101	m2e1_b	NOVASeq external indexes	201101	lin_trace_p6_exp1	201101	lin_trace_p6_exp1	5F	201101	201101_5F
lin_trace_p7_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1549	27/07/2020	14/09/2020	7	5G	25.6	19.4	7.1	2+11	12	310	201101	m2e3	NOVASeq external indexes	201101	lin_trace_p7_exp1	201101	lin_trace_p7_exp1	5G	201101	201101_5G
lin_trace_p9_exp1	Roni	lin_trace_EXP1	BDF1xc57bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	16/07/2020	1547	27/07/2020	15/09/2020	9	5A	27.1	20.3	7.8	2+13	14.7	408	201101	m2e3_c	NOVASeq external indexes	201101	lin_trace_p9_exp1	201101	lin_trace_p9_exp1	5A	201101	201101_5A
